KEY,FREQ,REF_AREA,BS_REP_SECTOR,BS_ITEM,MATURITY_NOT_IRATE,DATA_TYPE_MIR,AMOUNT_CAT,BS_COUNT_SECTOR,CURRENCY_TRANS,IR_BUS_COV,TIME_PERIOD,OBS_VALUE,OBS_STATUS,OBS_CONF,OBS_PRE_BREAK,OBS_COM,TIME_FORMAT,BREAKS,COLLECTION,COMPILING_ORG,DISS_ORG,DOM_SER_IDS,PUBL_ECB,PUBL_MU,PUBL_PUBLIC,UNIT_INDEX_BASE,COMPILATION,COVERAGE,DECIMALS,NAT_TITLE,SOURCE_AGENCY,TITLE,TITLE_COMPL,UNIT,UNIT_MULT
MIR.M.RO.B.A2A.F.R.A.2240.RON.N,M,RO,B,A2A,F,R,A,2240,RON,N,2018-06,5.6,A,F,,,P1M,,A,,,,,,,,,,4,,RO2,Bank interest rates - loans to corporations with a variable rate and an interest rate fixation period of up to one year (new business) ,"Romania, Annualised agreed rate (AAR) / Narrowly defined effective rate (NDER), Credit and other institutions (MFI except MMFs and central banks) reporting sector - Loans other than revolving loans and overdrafts, convenience and extended credit card debt, Up to 1 year initial rate fixation, Total amount, New business coverage, Non-Financial corporations (S.11) sector, denominated in Romanian leu",PCPA,0
MIR.M.RO.B.A2A.F.R.A.2240.RON.N,M,RO,B,A2A,F,R,A,2240,RON,N,2018-07,5.86,A,F,,,P1M,,A,,,,,,,,,,4,,RO2,Bank interest rates - loans to corporations with a variable rate and an interest rate fixation period of up to one year (new business) ,"Romania, Annualised agreed rate (AAR) / Narrowly defined effective rate (NDER), Credit and other institutions (MFI except MMFs and central banks) reporting sector - Loans other than revolving loans and overdrafts, convenience and extended credit card debt, Up to 1 year initial rate fixation, Total amount, New business coverage, Non-Financial corporations (S.11) sector, denominated in Romanian leu",PCPA,0
MIR.M.RO.B.A2A.F.R.A.2240.RON.N,M,RO,B,A2A,F,R,A,2240,RON,N,2018-08,6,A,F,,,P1M,,A,,,,,,,,,,4,,RO2,Bank interest rates - loans to corporations with a variable rate and an interest rate fixation period of up to one year (new business) ,"Romania, Annualised agreed rate (AAR) / Narrowly defined effective rate (NDER), Credit and other institutions (MFI except MMFs and central banks) reporting sector - Loans other than revolving loans and overdrafts, convenience and extended credit card debt, Up to 1 year initial rate fixation, Total amount, New business coverage, Non-Financial corporations (S.11) sector, denominated in Romanian leu",PCPA,0
MIR.M.RO.B.A2A.F.R.A.2240.RON.N,M,RO,B,A2A,F,R,A,2240,RON,N,2018-09,5.84,A,F,,,P1M,,A,,,,,,,,,,4,,RO2,Bank interest rates - loans to corporations with a variable rate and an interest rate fixation period of up to one year (new business) ,"Romania, Annualised agreed rate (AAR) / Narrowly defined effective rate (NDER), Credit and other institutions (MFI except MMFs and central banks) reporting sector - Loans other than revolving loans and overdrafts, convenience and extended credit card debt, Up to 1 year initial rate fixation, Total amount, New business coverage, Non-Financial corporations (S.11) sector, denominated in Romanian leu",PCPA,0
MIR.M.RO.B.A2A.F.R.A.2240.RON.N,M,RO,B,A2A,F,R,A,2240,RON,N,2018-10,6.07,A,F,,,P1M,,A,,,,,,,,,,4,,RO2,Bank interest rates - loans to corporations with a variable rate and an interest rate fixation period of up to one year (new business) ,"Romania, Annualised agreed rate (AAR) / Narrowly defined effective rate (NDER), Credit and other institutions (MFI except MMFs and central banks) reporting sector - Loans other than revolving loans and overdrafts, convenience and extended credit card debt, Up to 1 year initial rate fixation, Total amount, New business coverage, Non-Financial corporations (S.11) sector, denominated in Romanian leu",PCPA,0
MIR.M.RO.B.A2A.F.R.A.2240.RON.N,M,RO,B,A2A,F,R,A,2240,RON,N,2018-11,6.1,A,F,,,P1M,,A,,,,,,,,,,4,,RO2,Bank interest rates - loans to corporations with a variable rate and an interest rate fixation period of up to one year (new business) ,"Romania, Annualised agreed rate (AAR) / Narrowly defined effective rate (NDER), Credit and other institutions (MFI except MMFs and central banks) reporting sector - Loans other than revolving loans and overdrafts, convenience and extended credit card debt, Up to 1 year initial rate fixation, Total amount, New business coverage, Non-Financial corporations (S.11) sector, denominated in Romanian leu",PCPA,0
MIR.M.RO.B.A2A.F.R.A.2240.RON.N,M,RO,B,A2A,F,R,A,2240,RON,N,2018-12,5.81,A,F,,,P1M,,A,,,,,,,,,,4,,RO2,Bank interest rates - loans to corporations with a variable rate and an interest rate fixation period of up to one year (new business) ,"Romania, Annualised agreed rate (AAR) / Narrowly defined effective rate (NDER), Credit and other institutions (MFI except MMFs and central banks) reporting sector - Loans other than revolving loans and overdrafts, convenience and extended credit card debt, Up to 1 year initial rate fixation, Total amount, New business coverage, Non-Financial corporations (S.11) sector, denominated in Romanian leu",PCPA,0
MIR.M.RO.B.A2A.F.R.A.2240.RON.N,M,RO,B,A2A,F,R,A,2240,RON,N,2019-01,5.77,A,F,,,P1M,,A,,,,,,,,,,4,,RO2,Bank interest rates - loans to corporations with a variable rate and an interest rate fixation period of up to one year (new business) ,"Romania, Annualised agreed rate (AAR) / Narrowly defined effective rate (NDER), Credit and other institutions (MFI except MMFs and central banks) reporting sector - Loans other than revolving loans and overdrafts, convenience and extended credit card debt, Up to 1 year initial rate fixation, Total amount, New business coverage, Non-Financial corporations (S.11) sector, denominated in Romanian leu",PCPA,0
MIR.M.RO.B.A2A.F.R.A.2240.RON.N,M,RO,B,A2A,F,R,A,2240,RON,N,2019-02,6.17,A,F,,,P1M,,A,,,,,,,,,,4,,RO2,Bank interest rates - loans to corporations with a variable rate and an interest rate fixation period of up to one year (new business) ,"Romania, Annualised agreed rate (AAR) / Narrowly defined effective rate (NDER), Credit and other institutions (MFI except MMFs and central banks) reporting sector - Loans other than revolving loans and overdrafts, convenience and extended credit card debt, Up to 1 year initial rate fixation, Total amount, New business coverage, Non-Financial corporations (S.11) sector, denominated in Romanian leu",PCPA,0
MIR.M.RO.B.A2A.F.R.A.2240.RON.N,M,RO,B,A2A,F,R,A,2240,RON,N,2019-03,6.28,A,F,,,P1M,,A,,,,,,,,,,4,,RO2,Bank interest rates - loans to corporations with a variable rate and an interest rate fixation period of up to one year (new business) ,"Romania, Annualised agreed rate (AAR) / Narrowly defined effective rate (NDER), Credit and other institutions (MFI except MMFs and central banks) reporting sector - Loans other than revolving loans and overdrafts, convenience and extended credit card debt, Up to 1 year initial rate fixation, Total amount, New business coverage, Non-Financial corporations (S.11) sector, denominated in Romanian leu",PCPA,0
MIR.M.RO.B.A2A.F.R.A.2240.RON.N,M,RO,B,A2A,F,R,A,2240,RON,N,2019-04,6.16,A,F,,,P1M,,A,,,,,,,,,,4,,RO2,Bank interest rates - loans to corporations with a variable rate and an interest rate fixation period of up to one year (new business) ,"Romania, Annualised agreed rate (AAR) / Narrowly defined effective rate (NDER), Credit and other institutions (MFI except MMFs and central banks) reporting sector - Loans other than revolving loans and overdrafts, convenience and extended credit card debt, Up to 1 year initial rate fixation, Total amount, New business coverage, Non-Financial corporations (S.11) sector, denominated in Romanian leu",PCPA,0
MIR.M.RO.B.A2A.F.R.A.2240.RON.N,M,RO,B,A2A,F,R,A,2240,RON,N,2019-05,6.39,A,F,,,P1M,,A,,,,,,,,,,4,,RO2,Bank interest rates - loans to corporations with a variable rate and an interest rate fixation period of up to one year (new business) ,"Romania, Annualised agreed rate (AAR) / Narrowly defined effective rate (NDER), Credit and other institutions (MFI except MMFs and central banks) reporting sector - Loans other than revolving loans and overdrafts, convenience and extended credit card debt, Up to 1 year initial rate fixation, Total amount, New business coverage, Non-Financial corporations (S.11) sector, denominated in Romanian leu",PCPA,0
MIR.M.RO.B.A2A.F.R.A.2240.RON.N,M,RO,B,A2A,F,R,A,2240,RON,N,2019-06,6.1,A,F,,,P1M,,A,,,,,,,,,,4,,RO2,Bank interest rates - loans to corporations with a variable rate and an interest rate fixation period of up to one year (new business) ,"Romania, Annualised agreed rate (AAR) / Narrowly defined effective rate (NDER), Credit and other institutions (MFI except MMFs and central banks) reporting sector - Loans other than revolving loans and overdrafts, convenience and extended credit card debt, Up to 1 year initial rate fixation, Total amount, New business coverage, Non-Financial corporations (S.11) sector, denominated in Romanian leu",PCPA,0
MIR.M.RO.B.A2A.F.R.A.2240.RON.N,M,RO,B,A2A,F,R,A,2240,RON,N,2019-07,5.79,A,F,,,P1M,,A,,,,,,,,,,4,,RO2,Bank interest rates - loans to corporations with a variable rate and an interest rate fixation period of up to one year (new business) ,"Romania, Annualised agreed rate (AAR) / Narrowly defined effective rate (NDER), Credit and other institutions (MFI except MMFs and central banks) reporting sector - Loans other than revolving loans and overdrafts, convenience and extended credit card debt, Up to 1 year initial rate fixation, Total amount, New business coverage, Non-Financial corporations (S.11) sector, denominated in Romanian leu",PCPA,0
MIR.M.RO.B.A2A.F.R.A.2240.RON.N,M,RO,B,A2A,F,R,A,2240,RON,N,2019-08,5.63,A,F,,,P1M,,A,,,,,,,,,,4,,RO2,Bank interest rates - loans to corporations with a variable rate and an interest rate fixation period of up to one year (new business) ,"Romania, Annualised agreed rate (AAR) / Narrowly defined effective rate (NDER), Credit and other institutions (MFI except MMFs and central banks) reporting sector - Loans other than revolving loans and overdrafts, convenience and extended credit card debt, Up to 1 year initial rate fixation, Total amount, New business coverage, Non-Financial corporations (S.11) sector, denominated in Romanian leu",PCPA,0
MIR.M.RO.B.A2A.F.R.A.2240.RON.N,M,RO,B,A2A,F,R,A,2240,RON,N,2019-09,5.79,A,F,,,P1M,,A,,,,,,,,,,4,,RO2,Bank interest rates - loans to corporations with a variable rate and an interest rate fixation period of up to one year (new business) ,"Romania, Annualised agreed rate (AAR) / Narrowly defined effective rate (NDER), Credit and other institutions (MFI except MMFs and central banks) reporting sector - Loans other than revolving loans and overdrafts, convenience and extended credit card debt, Up to 1 year initial rate fixation, Total amount, New business coverage, Non-Financial corporations (S.11) sector, denominated in Romanian leu",PCPA,0
MIR.M.RO.B.A2A.F.R.A.2240.RON.N,M,RO,B,A2A,F,R,A,2240,RON,N,2019-10,5.84,A,F,,,P1M,,A,,,,,,,,,,4,,RO2,Bank interest rates - loans to corporations with a variable rate and an interest rate fixation period of up to one year (new business) ,"Romania, Annualised agreed rate (AAR) / Narrowly defined effective rate (NDER), Credit and other institutions (MFI except MMFs and central banks) reporting sector - Loans other than revolving loans and overdrafts, convenience and extended credit card debt, Up to 1 year initial rate fixation, Total amount, New business coverage, Non-Financial corporations (S.11) sector, denominated in Romanian leu",PCPA,0
MIR.M.RO.B.A2A.F.R.A.2240.RON.N,M,RO,B,A2A,F,R,A,2240,RON,N,2019-11,5.88,A,F,,,P1M,,A,,,,,,,,,,4,,RO2,Bank interest rates - loans to corporations with a variable rate and an interest rate fixation period of up to one year (new business) ,"Romania, Annualised agreed rate (AAR) / Narrowly defined effective rate (NDER), Credit and other institutions (MFI except MMFs and central banks) reporting sector - Loans other than revolving loans and overdrafts, convenience and extended credit card debt, Up to 1 year initial rate fixation, Total amount, New business coverage, Non-Financial corporations (S.11) sector, denominated in Romanian leu",PCPA,0
MIR.M.RO.B.A2A.F.R.A.2240.RON.N,M,RO,B,A2A,F,R,A,2240,RON,N,2019-12,5.85,A,F,,,P1M,,A,,,,,,,,,,4,,RO2,Bank interest rates - loans to corporations with a variable rate and an interest rate fixation period of up to one year (new business) ,"Romania, Annualised agreed rate (AAR) / Narrowly defined effective rate (NDER), Credit and other institutions (MFI except MMFs and central banks) reporting sector - Loans other than revolving loans and overdrafts, convenience and extended credit card debt, Up to 1 year initial rate fixation, Total amount, New business coverage, Non-Financial corporations (S.11) sector, denominated in Romanian leu",PCPA,0
MIR.M.RO.B.A2A.F.R.A.2240.RON.N,M,RO,B,A2A,F,R,A,2240,RON,N,2020-01,5.57,A,F,,,P1M,,A,,,,,,,,,,4,,RO2,Bank interest rates - loans to corporations with a variable rate and an interest rate fixation period of up to one year (new business) ,"Romania, Annualised agreed rate (AAR) / Narrowly defined effective rate (NDER), Credit and other institutions (MFI except MMFs and central banks) reporting sector - Loans other than revolving loans and overdrafts, convenience and extended credit card debt, Up to 1 year initial rate fixation, Total amount, New business coverage, Non-Financial corporations (S.11) sector, denominated in Romanian leu",PCPA,0
MIR.M.RO.B.A2A.F.R.A.2240.RON.N,M,RO,B,A2A,F,R,A,2240,RON,N,2020-02,6.07,A,F,,,P1M,,A,,,,,,,,,,4,,RO2,Bank interest rates - loans to corporations with a variable rate and an interest rate fixation period of up to one year (new business) ,"Romania, Annualised agreed rate (AAR) / Narrowly defined effective rate (NDER), Credit and other institutions (MFI except MMFs and central banks) reporting sector - Loans other than revolving loans and overdrafts, convenience and extended credit card debt, Up to 1 year initial rate fixation, Total amount, New business coverage, Non-Financial corporations (S.11) sector, denominated in Romanian leu",PCPA,0
MIR.M.RO.B.A2A.F.R.A.2240.RON.N,M,RO,B,A2A,F,R,A,2240,RON,N,2020-03,5.5,A,F,,,P1M,,A,,,,,,,,,,4,,RO2,Bank interest rates - loans to corporations with a variable rate and an interest rate fixation period of up to one year (new business) ,"Romania, Annualised agreed rate (AAR) / Narrowly defined effective rate (NDER), Credit and other institutions (MFI except MMFs and central banks) reporting sector - Loans other than revolving loans and overdrafts, convenience and extended credit card debt, Up to 1 year initial rate fixation, Total amount, New business coverage, Non-Financial corporations (S.11) sector, denominated in Romanian leu",PCPA,0
MIR.M.RO.B.A2A.F.R.A.2240.RON.N,M,RO,B,A2A,F,R,A,2240,RON,N,2020-04,5.52,A,F,,,P1M,,A,,,,,,,,,,4,,RO2,Bank interest rates - loans to corporations with a variable rate and an interest rate fixation period of up to one year (new business) ,"Romania, Annualised agreed rate (AAR) / Narrowly defined effective rate (NDER), Credit and other institutions (MFI except MMFs and central banks) reporting sector - Loans other than revolving loans and overdrafts, convenience and extended credit card debt, Up to 1 year initial rate fixation, Total amount, New business coverage, Non-Financial corporations (S.11) sector, denominated in Romanian leu",PCPA,0
MIR.M.RO.B.A2A.F.R.A.2240.RON.N,M,RO,B,A2A,F,R,A,2240,RON,N,2020-05,5.29,A,F,,,P1M,,A,,,,,,,,,,4,,RO2,Bank interest rates - loans to corporations with a variable rate and an interest rate fixation period of up to one year (new business) ,"Romania, Annualised agreed rate (AAR) / Narrowly defined effective rate (NDER), Credit and other institutions (MFI except MMFs and central banks) reporting sector - Loans other than revolving loans and overdrafts, convenience and extended credit card debt, Up to 1 year initial rate fixation, Total amount, New business coverage, Non-Financial corporations (S.11) sector, denominated in Romanian leu",PCPA,0
MIR.M.RO.B.A2A.F.R.A.2240.RON.N,M,RO,B,A2A,F,R,A,2240,RON,N,2020-06,4.82,A,F,,,P1M,,A,,,,,,,,,,4,,RO2,Bank interest rates - loans to corporations with a variable rate and an interest rate fixation period of up to one year (new business) ,"Romania, Annualised agreed rate (AAR) / Narrowly defined effective rate (NDER), Credit and other institutions (MFI except MMFs and central banks) reporting sector - Loans other than revolving loans and overdrafts, convenience and extended credit card debt, Up to 1 year initial rate fixation, Total amount, New business coverage, Non-Financial corporations (S.11) sector, denominated in Romanian leu",PCPA,0
MIR.M.RO.B.A2A.F.R.A.2240.RON.N,M,RO,B,A2A,F,R,A,2240,RON,N,2020-07,4.46,A,F,,,P1M,,A,,,,,,,,,,4,,RO2,Bank interest rates - loans to corporations with a variable rate and an interest rate fixation period of up to one year (new business) ,"Romania, Annualised agreed rate (AAR) / Narrowly defined effective rate (NDER), Credit and other institutions (MFI except MMFs and central banks) reporting sector - Loans other than revolving loans and overdrafts, convenience and extended credit card debt, Up to 1 year initial rate fixation, Total amount, New business coverage, Non-Financial corporations (S.11) sector, denominated in Romanian leu",PCPA,0
