KEY,FREQ,ADJUSTMENT,REF_AREA,COUNTERPART_AREA,REF_SECTOR,COUNTERPART_SECTOR,CONSOLIDATION,ACCOUNTING_ENTRY,STO,INSTR_ASSET,MATURITY,EXPENDITURE,UNIT_MEASURE,CURRENCY_DENOM,VALUATION,PRICES,TRANSFORMATION,CUST_BREAKDOWN,TIME_PERIOD,OBS_VALUE,OBS_STATUS,CONF_STATUS,PRE_BREAK_VALUE,COMMENT_OBS,EMBARGO_DATE,OBS_EDP_WBB,TIME_FORMAT,COLL_PERIOD,COMMENT_TS,COMPILING_ORG,CURRENCY,CUST_BREAKDOWN_LB,DATA_COMP,DECIMALS,DISS_ORG,GFS_ECOFUNC,GFS_TAXCAT,LAST_UPDATE,REF_PERIOD_DETAIL,REF_YEAR_PRICE,REPYEAREND,REPYEARSTART,TABLE_IDENTIFIER,TIME_PER_COLLECT,TITLE,TITLE_COMPL,UNIT_MULT,COMMENT_DSET
QSA.Q.N.RO.W0.S11.S1.N.C.D92._Z._Z._Z.XDC._T.S.V.N._T,Q,N,RO,W0,S11,S1,N,C,D92,_Z,_Z,_Z,XDC,_T,S,V,N,_T,2005-Q1,320.8,A,F,,,,,P3M,,"Romania, reporting institutional sector Non financial corporations - Investment grants - Not applicable - Not applicable - Counterpart area World (all areas, including reference area, including IO), counterpart institutional sector Total economy - Credit (Resources) - Non-consolidated, Current prices - Domestic currency (incl. conversion to current currency made using a fixed parity), Neither seasonally adjusted nor calendar adjusted data - ESA 2010",4D0,,,,2,,,,,,,,,,S,Investment grants receivable by Non financial corporations,,6,
QSA.Q.N.RO.W0.S11.S1.N.C.D92._Z._Z._Z.XDC._T.S.V.N._T,Q,N,RO,W0,S11,S1,N,C,D92,_Z,_Z,_Z,XDC,_T,S,V,N,_T,2005-Q2,497.3,A,F,,,,,P3M,,"Romania, reporting institutional sector Non financial corporations - Investment grants - Not applicable - Not applicable - Counterpart area World (all areas, including reference area, including IO), counterpart institutional sector Total economy - Credit (Resources) - Non-consolidated, Current prices - Domestic currency (incl. conversion to current currency made using a fixed parity), Neither seasonally adjusted nor calendar adjusted data - ESA 2010",4D0,,,,2,,,,,,,,,,S,Investment grants receivable by Non financial corporations,,6,
QSA.Q.N.RO.W0.S11.S1.N.C.D92._Z._Z._Z.XDC._T.S.V.N._T,Q,N,RO,W0,S11,S1,N,C,D92,_Z,_Z,_Z,XDC,_T,S,V,N,_T,2005-Q3,158.8,A,F,,,,,P3M,,"Romania, reporting institutional sector Non financial corporations - Investment grants - Not applicable - Not applicable - Counterpart area World (all areas, including reference area, including IO), counterpart institutional sector Total economy - Credit (Resources) - Non-consolidated, Current prices - Domestic currency (incl. conversion to current currency made using a fixed parity), Neither seasonally adjusted nor calendar adjusted data - ESA 2010",4D0,,,,2,,,,,,,,,,S,Investment grants receivable by Non financial corporations,,6,
QSA.Q.N.RO.W0.S11.S1.N.C.D92._Z._Z._Z.XDC._T.S.V.N._T,Q,N,RO,W0,S11,S1,N,C,D92,_Z,_Z,_Z,XDC,_T,S,V,N,_T,2005-Q4,1264,A,F,,,,,P3M,,"Romania, reporting institutional sector Non financial corporations - Investment grants - Not applicable - Not applicable - Counterpart area World (all areas, including reference area, including IO), counterpart institutional sector Total economy - Credit (Resources) - Non-consolidated, Current prices - Domestic currency (incl. conversion to current currency made using a fixed parity), Neither seasonally adjusted nor calendar adjusted data - ESA 2010",4D0,,,,2,,,,,,,,,,S,Investment grants receivable by Non financial corporations,,6,
QSA.Q.N.RO.W0.S11.S1.N.C.D92._Z._Z._Z.XDC._T.S.V.N._T,Q,N,RO,W0,S11,S1,N,C,D92,_Z,_Z,_Z,XDC,_T,S,V,N,_T,2006-Q1,1061.4,A,F,,,,,P3M,,"Romania, reporting institutional sector Non financial corporations - Investment grants - Not applicable - Not applicable - Counterpart area World (all areas, including reference area, including IO), counterpart institutional sector Total economy - Credit (Resources) - Non-consolidated, Current prices - Domestic currency (incl. conversion to current currency made using a fixed parity), Neither seasonally adjusted nor calendar adjusted data - ESA 2010",4D0,,,,2,,,,,,,,,,S,Investment grants receivable by Non financial corporations,,6,
QSA.Q.N.RO.W0.S11.S1.N.C.D92._Z._Z._Z.XDC._T.S.V.N._T,Q,N,RO,W0,S11,S1,N,C,D92,_Z,_Z,_Z,XDC,_T,S,V,N,_T,2006-Q2,223,A,F,,,,,P3M,,"Romania, reporting institutional sector Non financial corporations - Investment grants - Not applicable - Not applicable - Counterpart area World (all areas, including reference area, including IO), counterpart institutional sector Total economy - Credit (Resources) - Non-consolidated, Current prices - Domestic currency (incl. conversion to current currency made using a fixed parity), Neither seasonally adjusted nor calendar adjusted data - ESA 2010",4D0,,,,2,,,,,,,,,,S,Investment grants receivable by Non financial corporations,,6,
QSA.Q.N.RO.W0.S11.S1.N.C.D92._Z._Z._Z.XDC._T.S.V.N._T,Q,N,RO,W0,S11,S1,N,C,D92,_Z,_Z,_Z,XDC,_T,S,V,N,_T,2006-Q3,1750.9,A,F,,,,,P3M,,"Romania, reporting institutional sector Non financial corporations - Investment grants - Not applicable - Not applicable - Counterpart area World (all areas, including reference area, including IO), counterpart institutional sector Total economy - Credit (Resources) - Non-consolidated, Current prices - Domestic currency (incl. conversion to current currency made using a fixed parity), Neither seasonally adjusted nor calendar adjusted data - ESA 2010",4D0,,,,2,,,,,,,,,,S,Investment grants receivable by Non financial corporations,,6,
QSA.Q.N.RO.W0.S11.S1.N.C.D92._Z._Z._Z.XDC._T.S.V.N._T,Q,N,RO,W0,S11,S1,N,C,D92,_Z,_Z,_Z,XDC,_T,S,V,N,_T,2006-Q4,1052.9,A,F,,,,,P3M,,"Romania, reporting institutional sector Non financial corporations - Investment grants - Not applicable - Not applicable - Counterpart area World (all areas, including reference area, including IO), counterpart institutional sector Total economy - Credit (Resources) - Non-consolidated, Current prices - Domestic currency (incl. conversion to current currency made using a fixed parity), Neither seasonally adjusted nor calendar adjusted data - ESA 2010",4D0,,,,2,,,,,,,,,,S,Investment grants receivable by Non financial corporations,,6,
QSA.Q.N.RO.W0.S11.S1.N.C.D92._Z._Z._Z.XDC._T.S.V.N._T,Q,N,RO,W0,S11,S1,N,C,D92,_Z,_Z,_Z,XDC,_T,S,V,N,_T,2007-Q1,39.3,A,F,,,,,P3M,,"Romania, reporting institutional sector Non financial corporations - Investment grants - Not applicable - Not applicable - Counterpart area World (all areas, including reference area, including IO), counterpart institutional sector Total economy - Credit (Resources) - Non-consolidated, Current prices - Domestic currency (incl. conversion to current currency made using a fixed parity), Neither seasonally adjusted nor calendar adjusted data - ESA 2010",4D0,,,,2,,,,,,,,,,S,Investment grants receivable by Non financial corporations,,6,
QSA.Q.N.RO.W0.S11.S1.N.C.D92._Z._Z._Z.XDC._T.S.V.N._T,Q,N,RO,W0,S11,S1,N,C,D92,_Z,_Z,_Z,XDC,_T,S,V,N,_T,2007-Q2,414.8,A,F,,,,,P3M,,"Romania, reporting institutional sector Non financial corporations - Investment grants - Not applicable - Not applicable - Counterpart area World (all areas, including reference area, including IO), counterpart institutional sector Total economy - Credit (Resources) - Non-consolidated, Current prices - Domestic currency (incl. conversion to current currency made using a fixed parity), Neither seasonally adjusted nor calendar adjusted data - ESA 2010",4D0,,,,2,,,,,,,,,,S,Investment grants receivable by Non financial corporations,,6,
