period,debt_maturing_within_1y_pct,debt_refixing_within_1y_pct,average_time_to_maturity_years,average_time_to_refixing_years,local_debt_maturing_within_1y_pct,local_debt_refixing_within_1y_pct,local_atm_years,local_atr_years,source
2023-12,11.0,11.0,7.4,7.3,15.0,13.0,5.1,5.1,MoF Investor Presentation December 2024 historical compilation
2024-10,10.0,11.0,7.0,6.9,17.0,15.0,4.6,4.6,MoF Investor Presentation December 2024
