KEY,FREQ,ADJUSTMENT,REF_AREA,COUNTERPART_AREA,REF_SECTOR,COUNTERPART_SECTOR,ACCOUNTING_ENTRY,STO,INSTR_ASSET,ACTIVITY,EXPENDITURE,UNIT_MEASURE,PRICES,TRANSFORMATION,TIME_PERIOD,OBS_VALUE,OBS_STATUS,CONF_STATUS,PRE_BREAK_VALUE,COMMENT_OBS,EMBARGO_DATE,TIME_FORMAT,COMMENT_TS,COMPILING_ORG,CURRENCY,DATA_COMP,DECIMALS,DISS_ORG,LAST_UPDATE,REF_PERIOD_DETAIL,REF_YEAR_PRICE,REPYEAREND,REPYEARSTART,TABLE_IDENTIFIER,TIME_PER_COLLECT,TITLE,TITLE_COMPL,UNIT_MULT,COMMENT_DSET
MNA.Q.Y.RO.W2.S1.S1.B.B1GQ._Z._Z._Z.EUR.LR.N,Q,Y,RO,W2,S1,S1,B,B1GQ,_Z,_Z,_Z,EUR,LR,N,1998-Q1,25232.2509972511,A,F,,,,P3M,"Gross domestic product at market prices - Romania - Domestic (home or reference area), Total economy, Euro, Chain linked volume (rebased), Non transformed data, Calendar and seasonally adjusted data",4D0,,,2,,,C,2015,,,,S,"Gross domestic product at market prices, volume",,6,
MNA.Q.Y.RO.W2.S1.S1.B.B1GQ._Z._Z._Z.EUR.LR.N,Q,Y,RO,W2,S1,S1,B,B1GQ,_Z,_Z,_Z,EUR,LR,N,1998-Q2,25673.025649505,A,F,,,,P3M,"Gross domestic product at market prices - Romania - Domestic (home or reference area), Total economy, Euro, Chain linked volume (rebased), Non transformed data, Calendar and seasonally adjusted data",4D0,,,2,,,C,2015,,,,S,"Gross domestic product at market prices, volume",,6,
MNA.Q.Y.RO.W2.S1.S1.B.B1GQ._Z._Z._Z.EUR.LR.N,Q,Y,RO,W2,S1,S1,B,B1GQ,_Z,_Z,_Z,EUR,LR,N,1998-Q3,27086.6420023562,A,F,,,,P3M,"Gross domestic product at market prices - Romania - Domestic (home or reference area), Total economy, Euro, Chain linked volume (rebased), Non transformed data, Calendar and seasonally adjusted data",4D0,,,2,,,C,2015,,,,S,"Gross domestic product at market prices, volume",,6,
MNA.Q.Y.RO.W2.S1.S1.B.B1GQ._Z._Z._Z.EUR.LR.N,Q,Y,RO,W2,S1,S1,B,B1GQ,_Z,_Z,_Z,EUR,LR,N,1998-Q4,27629.0225905793,A,F,,,,P3M,"Gross domestic product at market prices - Romania - Domestic (home or reference area), Total economy, Euro, Chain linked volume (rebased), Non transformed data, Calendar and seasonally adjusted data",4D0,,,2,,,C,2015,,,,S,"Gross domestic product at market prices, volume",,6,
MNA.Q.Y.RO.W2.S1.S1.B.B1GQ._Z._Z._Z.EUR.LR.N,Q,Y,RO,W2,S1,S1,B,B1GQ,_Z,_Z,_Z,EUR,LR,N,1999-Q1,26877.4156211893,A,F,,,,P3M,"Gross domestic product at market prices - Romania - Domestic (home or reference area), Total economy, Euro, Chain linked volume (rebased), Non transformed data, Calendar and seasonally adjusted data",4D0,,,2,,,C,2015,,,,S,"Gross domestic product at market prices, volume",,6,
MNA.Q.Y.RO.W2.S1.S1.B.B1GQ._Z._Z._Z.EUR.LR.N,Q,Y,RO,W2,S1,S1,B,B1GQ,_Z,_Z,_Z,EUR,LR,N,1999-Q2,26496.4553665544,A,F,,,,P3M,"Gross domestic product at market prices - Romania - Domestic (home or reference area), Total economy, Euro, Chain linked volume (rebased), Non transformed data, Calendar and seasonally adjusted data",4D0,,,2,,,C,2015,,,,S,"Gross domestic product at market prices, volume",,6,
MNA.Q.Y.RO.W2.S1.S1.B.B1GQ._Z._Z._Z.EUR.LR.N,Q,Y,RO,W2,S1,S1,B,B1GQ,_Z,_Z,_Z,EUR,LR,N,1999-Q3,26098.8983733956,A,F,,,,P3M,"Gross domestic product at market prices - Romania - Domestic (home or reference area), Total economy, Euro, Chain linked volume (rebased), Non transformed data, Calendar and seasonally adjusted data",4D0,,,2,,,C,2015,,,,S,"Gross domestic product at market prices, volume",,6,
MNA.Q.Y.RO.W2.S1.S1.B.B1GQ._Z._Z._Z.EUR.LR.N,Q,Y,RO,W2,S1,S1,B,B1GQ,_Z,_Z,_Z,EUR,LR,N,1999-Q4,25750.3461959779,A,F,,,,P3M,"Gross domestic product at market prices - Romania - Domestic (home or reference area), Total economy, Euro, Chain linked volume (rebased), Non transformed data, Calendar and seasonally adjusted data",4D0,,,2,,,C,2015,,,,S,"Gross domestic product at market prices, volume",,6,
MNA.Q.Y.RO.W2.S1.S1.B.B1GQ._Z._Z._Z.EUR.LR.N,Q,Y,RO,W2,S1,S1,B,B1GQ,_Z,_Z,_Z,EUR,LR,N,2000-Q1,26510.7579108364,A,F,,,,P3M,"Gross domestic product at market prices - Romania - Domestic (home or reference area), Total economy, Euro, Chain linked volume (rebased), Non transformed data, Calendar and seasonally adjusted data",4D0,,,2,,,C,2015,,,,S,"Gross domestic product at market prices, volume",,6,
MNA.Q.Y.RO.W2.S1.S1.B.B1GQ._Z._Z._Z.EUR.LR.N,Q,Y,RO,W2,S1,S1,B,B1GQ,_Z,_Z,_Z,EUR,LR,N,2000-Q2,27991.8566438625,A,F,,,,P3M,"Gross domestic product at market prices - Romania - Domestic (home or reference area), Total economy, Euro, Chain linked volume (rebased), Non transformed data, Calendar and seasonally adjusted data",4D0,,,2,,,C,2015,,,,S,"Gross domestic product at market prices, volume",,6,
